Authors	Title	Citation	DOI	Year	Month	0	1	2	3	Score	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	First_Author	Last_author	Duration in Career	Highest Degree Obtained	Degree Area	Publication Rate	Other Journals Published in	University_name	Type	Established	Academic_staff	Students	No_in_lab	Country	Latitude	Longitude	Campus	world_rank	teaching	international	research	citations	income	student_staff_ratio	international_students	female_male_ratio	pop_density_map.png	privacy_map.jpg	english_language_map.png	Grover identified falsification
Amber Contreras DVM	Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses through suppression of NF-_B activation in 3T3-L1 adipocytes	Journal of Applied Microbiology 2010, 109:1668Ð1676	10.1371/journal.ppat.1004195	2012	JCM					3	Two sets of duplicated blot panels, one rotated	1	5/28/2015				1	Fang Liu	Huochun Yao	33	BS	biology	4.3076	Diabetes	Montpellier 2 University	Medical		6500	96408	6.163599542	Czech Republic	-34.688889	2.32805556	Suburban	4		94.4			56.3	17.5		2.404861111	1	2	2	Fake
Michelle Burns	Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases	Cancer Cell 26, 754Ð769, November 10, 2014	10.1128/IAI.73.3.1386-1398.2005	2006	03-Mar					5	multiple duplications of negative blot strips	1	02-01-2015				1	Isao Hara	Eric Rubinstein 1	14	DDS	Cytokinetics	0.1538	genetics	Washington University School of Medicine	Medical	1842	1481	51196	0.29294166	Mexico	-47.654167	77.8627778	Rural	79		85.5	88.6		63.3			1.954166667	2	1	2	Fake
Bryan Leonard	Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway	PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049	10.1073/pnas.1310331110	1999	JCM					5	Shifted reused blots	1	09-12-2016				1	Hong Yu	Susanne Hinkley	9	BSc	medical biology	2.82	BioMed Research International	Ohio State University	Governmental organization	1871	1643	826	30.7564356	Ireland	41.7892	35.48222	Rural	74	44.1	26.6		67.8	56.2			1.749305556	0	1	4	Fake
Rebecca Henry	Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species	Cytokine 44 (2008) 221Ð228	10.1002/ijc.28280	2005	01-Jan					5	duplicated, shifted blot panels	1	12-01-2014				1	Carlos J. Blondel	MASAHIRO URADE	13	MD	materials physics	0.4545455	Placenta	National Taiwan University	Flagship	1864	2564	30041	0.21044586	West Jerusalem	-41.386667	-13.512778	Suburban	19			36.3	31.9	92.4	13.8	0.1	1.995138889	2	2	2	Fake
Kristin Carpenter	Identification of the pollen self-incompatibility determinant in Papaver rhoeas	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592	10.1016/j.cyto.2011.02.016	2005	IAI					3	Duplicated blot panels, different exposure	1	1/20/2015				1	Dana Ben-Ami Shor	Qingduan Wang	13	MD, PhD	philosophy	1.833	Cytokine	University of North Dakota	Governmental organization	1883	3541	18334	6.235813	France	-29.710556	90.2647222	Suburban	193		77.8			34.1	14.5		2.404861111	5	0	0	Fake
George King	Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice	Cancer Cell 23, 784Ð795, June 10, 2013 	10.1128/IAI.00913-08	2005	06-Jun					2	Multiple cases of reused blot panels	1	07-01-2014				1	Shun-Dong Dai	Huochun Yao	18	BS	Medicine	11.5	Gastroenterology	Genome Institute of Singapore	Public		1442	29710	0.71985059	China	-44.476111	87.6738889	Urban	4	42.4	31.9		36.1	90.8			2.2	3	3	1	Fake
Katelyn Mejia	Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome	PNAS | March 22, 2011 | vol. 108 | no. 12, 870Ð4875	10.1371/journal.pone.0071127	2008	05-May					2	Multiple cases of shifted or duplicated blot panels	1	5/19/2016				1	Yuan Du	Dorota Czerucka	22	BS	developmental biology	1.94	Molecular Immunology	Nihon University		1928		13581	0.64595745	United States	-36.628889	112.549167		42					30			2.732638889	0	2	0	Fake
Cynthia Bennett	Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296	10.3892/ijo.2012.1617	2006	JCM					3	Duplicated blot	1	11-01-2016				1	Miti Jearaphunt	YUICHIRO DOKI  MASAKI MORI	32	BSc	Oral Pathology and Medicine	2.875	infection and immunity	Hacettepe University	Public	1755	7700	30698	9.2753304	United States	-44.476111	-126.90806	College Town	701			27.3		32.3	16.6		2.077083333	5	2	0	Fake
Ashley Wilson	Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells	Infect. Immun. 2012, 80(7):2558	10.1371/journal.pone.0062170	2003						4	Overlapping microscopy	1	11/18/2014				1	Ari Kassardjian	Murray Korc	12	BS	Cytokinetics	0.6818182	medicine	Cinvestav	National	1890	11502	51196	23.2226075	Malaysia	-32.231667	-135.18056	Urban	376		26.6	28.2		-			1.83125	2	1	2	Fake
April Jackson	RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis	Infect. Immun. Feb. 2003, p. 948Ð955 Vol. 71, No. 2	10.1128/IAI.00913-08	2000	mBio					3	Overlapping microscopy panels	1	9/30/2014				1	Yi Fang Lee	Bai-Shuan Liu	30	MD	immunohematology	1.33	satellite image processing	University of Cote d'Azur	Graduate	1869	7317	12597	5.3568117	Taiwan	33.8997222	-16.868333		701		40.5	66.7		57.1	10.7		2.240972222	2	2	1	Fake
Matthew Scott	RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis	J. Clin. Microbiol. 2004, 42(12):5885	10.1016/j.cyto.2013.04.005	2007	10.1016/j.lungcan.2011.01.012					5	Two sets of duplicated blot panels, one rotated	1	09-03-2014				1	Kazutoshi Komiya	Nemani V. Prasadarao	5	PhD	cellular biology	7.4285	cells	SUNY Upstate Medical University	Flagship		676	21055	9.4	Italy	3.06944444	-82.989167	Rural	36		63.9	13.3		95.7			2.281944444	1	1	0	Fake
Joe Cameron	Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet	Journal of Autoimmunity 25 (2005) 206-214	10.1016/j.lungcan.2009.10.010	2014	02-Feb					4	Duplicated lanes within different panels - but representing same conditions	1	3/28/2017				1	CHIACHEN CHEN	Zhiwei Wang	20	PhD	cell biology	6.66	autoimmunity	Virginia Tech	Flagship	1451	2430	44413	12.33396584	Slovenia	-30.633056	123.375	Suburban	700					95.7			2.118055556	5	2	0	Fake
Krystal Scott	Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection	Microbiol. Immunol., 48(4), 289Ð295, 2004	10.1371/journal.pone.0057285	1996	JCM					3	Duplicated blots	1	12-02-2014				1	Gail Doughton	D Fan	13	BS	developmental biology	1	virology	Nanjing University of Chinese Medicine		1870	1500	36000	23.2226075	Lebanon	-39.929444	-147.32278	College Town	97	32.6				96.2	12.4		38 : 62	3	0	4	Fake
Kevin Hale	MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1	J. Cell Biol. Vol. 199 No. 3 481Ð496	10.1073/pnas.1319190110	2012	05-May					2	Duplicated lanes with blot panel	1	9/28/2016				1	Arumugam Nagalingam	David A. Keays	7	PhD	Neurology	2.421	Diagnostic Pathology	University of Regensburg	National		1581	26814	11.0494107	Spain	37.5966667	-116.35472	Suburban	32	41			80.5	90.8		0.11		5	1	4	Fake
Jacob Barnett	Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki	Cytokine 56 (2011) 573Ð580	10.1371/journal.pone.0053940	2014	01-Jan					2	very similar negative microscopy images, very similar cell grouping in other image	1	04-10-2017				1	Trent Fowler	Mrinal K. Maiti	9	PhD	Veterinary Medicine	0.3142857	Cancer Research	University of Colorado Boulder	Governmental organization	1801	4704	36000	9.074419921	Lebanon	-33.45	-127.45694	Urban	5	49.3				36.3			1.954166667	3	2	0	Fake
Kathryn Hayes	Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2	Microbiol Immunol 2010; 54: 564Ð567	10.1016/j.cyto.2008.12.013	2001	04-Apr					7	Duplicated control blot panel	1	01-12-2016				1	Laura W. Schrum		12	MD	cellular biology	17.15	Veterinary Immunology and Immunopathology	University of Vermont	Private	1784	7317	33487	18.5283757	UK	-42.276944	72.9361111	Suburban	81	38.7				56.7			0.68402778	1	2	2	Fake
Laura Johnson	Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells	INTERNATIONAL JOURNAL OF ONCOLOGY 41: 1809-1819, 2012	10.1016/j.cyto.2003.11.014	2014	07-Jul					7	Cut, and duplicated SDS PAGE parts	1	10/17/2016				1	Fabio Sallustio	Chihiro Sasakawa	26	MD	cell biology	7	Physical Review	National Heart, Lung, and Blood Institute		1801	3541	96408	8.66666667	Australia	-24.121667	101.503611	College Town	161					92.4	25.6		34 : 66	1	1	4	Fake
Allison Johnson	Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells	Cytokine 26 (2004) 1-8	10.1016/j.cyto.2011.06.005	1999	01-Jan					3	Duplicated, mirrored bands within same panels	1	12-02-2014				1	T-I Hsu	Rujuan Dai	41	MD	Immunology	0.2380952	European journal of cell biology	Tehran University of Medical Sciences	Public	1827	1397	455	10.010699	Iran	-37.87	-120.65139		97			14.2		28.5	14.2		38 : 62	2	0	1	Fake
Tammy Zamora MD	Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583	10.1128/JCM.00418-06	2007	mBio					7	Duplicated blot, stretched	1	10/17/2014				1	Yael Friedman-Levi	Jianmin Wan	26	DDS	pathology	8.3	Hormone and Metabolic Research	Washington University School of Medicine	Public	1969	5732		6.36754177	Turkey	45.508889	122.168889	College Town	21		35.3	11		42.7			2.322916667	1	0	1	Fake
Benjamin Chambers	Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005	Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857	10.1371/journal.pone.0086342	2012	IAI					2	Duplicated, and shifted GAPDH gel panel	1	06-01-2017				1	Henry E. Cerny	A. Kozub¬íkeSung	11	BS	biology	1.2	Genomics	Thammasat University	Flagship	1926	1584	36000	0.61675127	Singapore	44.225	121.474722	Rural	39			13.3	86.8	89.4	8.6		37 : 63	5	3	1	Fake
Bradley Stanley	Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections	PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195	10.1128/IAI.00013-12	2005	07-Jul					5	Duplicated shifted blot panel	1	6/13/2016				1	Laurent Guillon	Shigekazu Nagata	22	BS	cell biology	1.94	PLoS ONE	University of Vermont	Medical	1951	5583	17500	24.2834437	Thailand	41.2558333	-7.7644444	Rural	551			25.7		36.3		0.04	2.240972222	2	0	1	Fake
Kristen Carson	HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity	Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 378415	10.1111/j.1462-2920.2012.02741.x	2014	IAI					7	Multiple cases of duplicated bands within same blot panel	1	8/18/2014				1	Morgan E. Carlson	Francesco P. Schena	10	MD, PhD	biomedicine	1.8571	Molecular biology	Boston University School of Medicine	Medical		1086	19500	5.917961783	Hong Kong	-39.910833	96.7013889	Suburban	32			89.3		46.4	20.4	0.29	1.83125	3	1	2	Fake
Sarah Higgins	Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus	PNAS | March 22, 2011 | vol. 108 | no. 12, 870Ð4875	10.1155/2013/308130	2003	06-Jun					5	multiple overlapping microscopy images, groups of cells visible in multiple images	1	5/20/2016				1	Teresa Lorenzi	Mar√µa Cristina Carrillo	6	PhD	Anaesthetics	6.2	Cancers	UC Berkeley	Graduate	1950	10625	69465	24.6666667	Sweden	-40	112.549167	Rural	74	38.5	42.8	66.7		42.9			2.363888889	2	1	4	Fake
Ricardo Mcdowell	Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity	Cytokine 48 (2009) 170Ð176	10.1371/journal.pone.0069485	2008	04-Apr					4	Shifted blots, representing different proteins	1	11/25/2014				1	Kaitlyn Morse	Wei Xiao	24	MD	MicroBiology	5.375	internal medicine	Newcastle University	Public	1854	1814	38771	16.3636364	UK	51.19027	-120.31056	Rural	14	46.1	36.6	96.7		100	2.6		2.814583333	1	2	2	Fake
Brent Martin	Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody	Breast Cancer Research 2012, 14:R85	10.1038/nature07034	2001	mBio					5	Duplicated blot	1	11/17/2016				1	Rajesh K. Grover	Chiao-Wen Lin	23	BS	immunohematology	0.3333	nature	Heinrich Heine University	Governmental organization	1956	2546	51196	3.292621314	Russia	-43.661667	-147.32278	Suburban	133	20.6				76.1			36 : 64	0	2	2	Fake
Julie Young	Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody	mBio 4(3): 2013	10.1016/j.cyto.2014.07.249	1999	04-Apr					3	repetitive bands, and background in gel panel	1	10-09-2015				1	Jianming Chen	Yehuda Shoenfeld	19	MD	Microbiology	1.29	Journal of Neuroimmune Pharmacology	Stony Brook University	Medical	1951	1397	32000	22.0473815	England	-43.631944	-108.97917	Suburban	50	27.8				52.3	25.6		2.281944444	5	2	2	Fake
Jacob Mcclain	Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum	Infect. Immun. 2012, 80(1):215	10.1111/j.1462-2920.2008.01842.x	2006	02-Feb					3	Possible patches in microscopy, possible duplicated lanes	1	02-03-2015				1	Yi Fang Lee	Tanja Dominko	29	BS	BioChemistry	0.4285714	medicine	National University of Ireland	Governmental organization	1724	3052	27215	15.1011524	Chile	-42.276944	-123.3725	Rural	25		47.8	24.2	31.9	30		0.34	38 : 62	3	0	0	Fake
Jessica Walker	NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection	Environmental Microbiology (2012) 14(10), 2788Ð2799	10.1371/journal.pgen.1004121	2007	04-Apr					3	Duplicated and mirrored blot	1	1/27/2015				1	Manasa K. Nayak		19	BS	Urology	0.2222	Journal of Diabetes	Saga University	Governmental organization	2004	10625	26732	6.3276131	Northern Ireland	39.0025	-83.738056	Urban	326	42.4			67.8	40.5			1.83125	5	3	2	Fake
John Moreno	STAT3 induces muscle stem cell differentiation by interaction with myoD	INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1263-1270, 2013	10.1111/j.1462-2920.2012.02741.x	2012	08-Aug					5	duplicated, and mirrored blots	1	03-09-2016				1	R. van Gelderen		5	DDS	Mathematics	0.66	Oncogenes	Westmead Hospital	Graduate	1957	7317	19500	5.34805195	United States	-40.796111	-73.561667	Suburban	39			15.4		30			39 : 61	0	3	1	Fake
Lindsey Wilson	TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation	Lung Cancer (2003) 41, 363__/367	10.1155/2014/424767	1998	07-Jul					2	shifted GAPDH panels	1	7/22/2014				1	Doblin Sandai	Vernonica E. Franklin-Tong	41	BS	pathology	4.27	Veterinary	SUNY Upstate Medical University	Medical	1848	3534	14062	31.25	South Korea	-53.380833	-130.29111		551					28			36 : 64	0	0	1	Fake
Michael Bradley	TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation	Environmental Microbiology (2012) 14(10), 2788Ð2799	10.1155/2012/595292	2011	02-Feb					5	duplicated blot, shifted microscopy	1	11/17/2016				1	Stephanie Dahan	Roy Curtiss III	3	BS	Biotechnology	2.1363	Journal of Pineal Research	National Cheng Kung University	Medical	1784	1088	30195	10.2299089	South Korea	22.3194444	83.7380556		226	65.1	21.7		99.9	56.3	6.5		2.077083333	0	3	0	Fake
Dana Lopez	Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells	Cytokine 37 (2007) 227Ð235	10.1111/j.1348-0421.2010.00241.x	1996	IAI					4	Duplication, stretching, what not, the lot	1	9/19/2014				1	Inka Regine Weingaertner	Shigekazu Nagata	41	DDS	medical biology	0.3333	molecular microbiology	University of Perugia	National	1883	1255	9468	9.074419921	Netherlands	41.0678	-12.095	Urban	3		14.8	33.2		53.1	8.4		2.281944444	2	0	4	Fake
James Arias	The distribution of interleukin-19 in healthy and neoplastic tissue	Int. J. Cancer: 133, 275Ð286 (2013) 	10.3892/ijo.2012.1617	2012	JCM					2	Duplicated blot panels, multiple cases	1	11/15/2015				1	Luke Martin McCaffrey	TV Patil  GC Kundu	15	PhD	Neuroscience	3.9	Genetics	University of Colorado Boulder	Public	1958	2220	160957	14.6059877	Germany	-34.728056	-116.3052777	Rural	14				56.7	40.5	18.3	0.06	2.609722222	2	0	2	Fake
Donna Walker	Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__	Breast Cancer Research 2014, 16:R75	10.1371/journal.pone.0098448	1996	mBio					7	Mirrored microscopy image	1	8/18/2014				1	CC Jiang	KYONG HWA PARK	50	BSc	Forensic Medicine	0.882352941	Physical Review	National University of Ireland	National	1864	2009	26732	8.25417887	Sweden	-39.6522222	-121.425		127			41.8		28.2			2.527777778	1	2	0	Fake
Mary Meza	Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells	PNAS | January22,2013 | vol.110 | no.4 | 1441	10.1128/IAI.73.3.1386-1398.2005	2004	01-Jan					4	possible duplicated lanes within same blot, patch in other blot	1	1/27/2015				1	Javier Santander	Murray Korc	16	BS	Genetics	3	Hepatology	Massachusetts Institute of Technology	Graduate		1395	26402	0.61675127	Thailand	-30.285	123.278889	Rural	65	21	85.1		25.3	79.4	12.9		2.2	1	0	2	Fake
Darren Johnson	An Extracellular Subtilase Switch for Immune Priming in Arabidopsis	PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049	10.1016/j.jaut.2006.05.001	2007	02-Feb					5	Manipulated plant images, duplication of seeds, manipulated leaves	1	7/20/2015				1	R. van Gelderen	Golla Ramalinga Reddy	31	DDS	Pathology	1.79	neurosurgery	Tufts University School of Medicine	Public	1495	7700	19500	6.235813	Japan	-42.336111	-121.53611	Urban	38	50.6				100	13.4		2.527777778	3	0	2	Fake
Rodney Bowers	Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer	Cytokine 56 (2011) 245Ð255	10.1126/science.1231897	2014	03-Mar					2	Duplicated lanes with blot panel	1	02-01-2015				1	Fang Liu	Ling Zhi Li	29	DDS	Dentistry	1.1666	Veterinary Immunology and Immunopathology	University of Vermont	Public		1575	45742	9.60629336	Turkey	-40.001944	-113.33361	College Town	123	51.7		78.4		52.2	15.5		2.732638889	1	2	0	Fake
Mark Snow	Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide	Cytokine 56 (2011) 245Ð255	10.1038/34214	2013	IAI					7	Duplicated agarose gel panels	1	02-01-2015				1	Niyas Kudukkil Pulloor	Rol R. Arnold	27	MD	Bioinformatics	1.375	neurosurgery	University of Michigan School of Dentistry	Public	1950	2606	14775	11.6932308	Sweden	31.228611	-14.503889		74					64.7			36 : 64	1	1	2	Fake
Alvin Martin	Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines	Infect. Immun. 2013, 81(4):1207	10.1073/pnas.1319190110	2004	10.1016/j.lungcan.2011.01.012					3	Duplicated pic of agar plate, but different exposure.	1	07-08-2015				1	Kotla Siva Reddy	Eileen A. Friedman	3	MD, PhD	Cardiovascular biology	0.2173913	PloS	Nanyang Institute of Technology	Flagship	1956	1088	15039	3.292621314	Japan	28.5391667	-113.25556	Urban	32	80.8	27.7		47.3	33.4		0.26	1.790277778	1	1	1	Fake
Jessica Cox	Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby ÔÔsix-mixÕÕ amphiboles and subsequent activation of BEAS-2B cells	BioMed Research International Volume 2013, Article ID 210604	10.1371/journal.ppat.1003845	2009	04-Apr					3	Duplicated 0h microscopy images	1	10/23/2014				1	Deok-Ho Song	X.F. Steven Zheng	22	DDS	Molecular Genetics	0.66	Molecular Medicine	Peking Union Medical College	Medical	1875	2199	35528	8.66666667	Slovenia	-31.797222	10.001389		700	76.8	93	50.3		46.4	14.4	0.01	32 : 68	1	0	4	Fake
Mrs. Shelley Reynolds	cDNA cloning and functional analysis of goose interleukin-2	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066	10.1111/j.1472-765X.2012.03263.x	2008	04-Apr					5	Shifted blots, representing different proteins	1	05-08-2015				1	Li Han	B. Nowak	4	BS	Genetics	33.5	PloS Genetics	University of California, Los Angeles	Flagship	1820	1175	49000	0.01605024	Singapore	51.5247222	100.490833	Suburban				61.9		100			0.68402778	2	1	0	Fake
Dakota Robertson	c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation	Nature. 1998 Jan 1;391(6662):96-9.	10.1002/ijc.28001	2004	mBio					2	Duplicated FACS panel	1	7/22/2014				1	M. HyzdÕalov	Mar√µa Cristina Carrillo	6	PhD	human genetics	0.4	cellular biology	SUNY Upstate Medical University	Medical	1867	3925	69465	11.9286262	West Jerusalem	39.91151	83.7380556	Suburban	376		59.6			28.2	13.4		0.68402778	2	0	0	Fake
Brandon King	Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency	Infect. Immun. 2012, 80(8):2948	10.3892/ijo.2012.1617	2014	02-Feb					7	multiple cases of shifted blots, duplicated bands within blots	1	4/27/2015				1	BO LI	Kenneth L. Bost	8	DDS	Biochemistry	4.066	infection and immunity	University of Ljubljana	Graduate	1869	419	1547	18.4719784	Italy	-17.411111	127.051667	Rural	19			10.1	80.2	52.3			2.404861111	3	0	1	Fake
Eric Mcintosh	Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes	Infection, and Immunity, Jan. 1999, p. 80Ð87 Vol. 67, No. 1	10.1016/j.cyto.2010.09.007	2012	06-Jun					5	Duplicated area within the same blot	1	5/23/2016				1	Vicente Ramrez	Lawrence Panasci	21	DDS	Cytokinetics	3.33	autoimmunity	National Cheng Kung University	Governmental organization	1969	11357	9408	6.163599542	West Jerusalem	-33.9975	71.105	Suburban	149	24.9		68.2	99.7	49.6	17.8		37 : 63	3	0	0	Fake
Robin Clark	Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling	PLOS One, April 2014 | Volume 9 | Issue 4 | e93563	10.1002/ijc.28289	2000						2	Mirrored blot	1	11/17/2016				1	Yun Sun	Yong-ho Kim	50	BS	biology	4.2	PloS One	University of Groningen	National	1810	1612	31829	0.29294166	Netherlands	-43.116111	-116.35472		149	33.2		11.2		33.4			39 : 61	3	3	1	Fake
George Wilkinson	STAT3 induces muscle stem cell differentiation by interaction with myoD	Infect. Immun. 2012, 80(7):2558	10.1371/journal.pone.0103868	2014	mBio					5		1	9/30/2014				1	Gayathri Chadalapaka	Krzysztof Flis	16	PhD	Biotechnology	0.25	PloS One	Kyung Hee University	Public	1952	3534	110436	15.90412698	West Jerusalem	-41.789167	71.105	College Town	38	20		13.6	99.9	34.5		0.25	2.609722222	1	3	4	Fake
Stephanie Chavez	An Extracellular Subtilase Switch for Immune Priming in Arabidopsis	Cytokine 49 (2010) 312Ð318	10.1016/j.cyto.2008.02.005	1998	07-Jul					4	Duplicated/mirrored bands, manipulated	1	03-03-2016				1	Kang Fang	Mark C. Herzberg	12	MD, PhD	biomedicine	0.2272727	Molecular biology	Saga University	Public	1827	2547	18700	0.71985059	Turkey	-30.285	71.105	Rural	75	43				30			32 : 68	0	1	1	Fake
Charles Warren	Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells	Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245	10.1371/journal.ppat.1003845	1996	04-Apr				1	5	Duplicated actin blot	1	05-06-2015				1	Zhiqiang Wang	Kwok-yung Yuen	6	BS	Dentistry	0.2352	genetics	University of Michigan, Dearborn	Graduate		2206	68942	0.21044586	Sweden	-41.503889	-29.101667		81		39.6			57.1			2.322916667	5	0	4	Fake
Bob Brown	In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2	Cytokine 36 (2006) 245Ð253	10.3892/ijo.2012.1470	2010	05-May					2	multiple cases of shifted blots, duplicated bands within blots	1	10/23/2014				1	King Ching Ho	Michael Hensel	30	BS	evolutionary biology	1	life science	University of South Carolina	Public	1889	7310	42559	16.3636364	Chile	-39.328889	-80.732381	Suburban	451					28.2		0.25	2.609722222	3	2	0	Fake
Matthew Pittman	Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors	J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09	10.3892/ijo.2013.1789	2005	02-Feb					5	Duplicated blot, stretched	1	9/16/2016				1	Nobuo Okahashi	Ralph R. Isberg	28	BS	Oral Health Sciences	1.8181	European journal of cell biology	Third Military Medical University	Governmental organization		4539	600	12.5612513	Chile	42.3572222	-51.381111	Rural	163		17.6		47.3	31.1			1.83125	3	1	0	Fake
Jillian Hall	Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway	Cytokine 62 (2013) 407Ð412	10.1371/journal.pone.0064904	2004	06-Jun					7	Duplicated blot panel, stretched	1	06-01-2015				1	Sawsan Ibrahim Kreydiyyeh		8	MD, PhD	physics	1.8	medicine	University of Sheffield	Flagship	1842	5732	28454	12.11352133	Iran	-35.691111	81.6080556	Suburban	163	20.6	46.4			56.2	16.3		2.077083333	2	1	4	Fake
Austin Shaw	Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity	INTERNATIONAL JOURNAL OF ONCOLOGY 40: 1779-1788, 2012	10.1111/j.1462-2920.2012.02788.x	2005	01-Jan					3	duplicated, and mirrored blots	1	10-01-2016				1	Xiucai Xu	Tetsuya Yamamoto	30	BSc	Dentistry	0.6	Diabetes	Chungbuk National University	Medical	1954	2220	729	14.6059		-3.1208333	33.9752778		25						24.3		2.118055556	2	1	4	Fake
