Authors	Title	Citation	DOI	Year	Month	0	1	2	3	Score	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	First_Author	Last_author	Duration in Career	Highest Degree Obtained	Degree Area	Publication Rate	Other Journals Published in	University_name	Type	Established	Academic_staff	Students	No_in_lab	Country	Latitude	Longitude	Campus	world_rank	teaching	international	research	citations	income	student_staff_ratio	international_students	female_male_ratio	pop_density_map.png	privacy_map.jpg	english_language_map.png	Grover identified falsification
Deok-Ho Song, Ji-Houn Kang, Geun-Shik Lee, Eui-Bae Jeung, Mhan-Pyo Yang 	Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway	Cytokine 37 (2007) 227Ð235	10.1016/j.cyto.2007.04.003	2007				1		4	Duplicated gel, differently cut	1				1	1	Deok-Ho Song	Xue-Qing Yu	13	PhD	Cytokinetics	0.1538	Veterinary Immunology and Immunopathology	Chungbuk National University	National	1951	755	18334	24.2834437	South Korea	-36.628889	-127.45694	Urban										0	3	2	Original
Chung-Hsi Hsing, Hsing-Hui Li, Yu-Hsiang Hsu, Chung-Liang Ho, Shih-Sung Chuang, Kuo-Mao Lan, Ming-Shi Chang	The distribution of interleukin-19 in healthy and neoplastic tissue	Cytokine 44 (2008) 221Ð228	10.1016/j.cyto.2008.06.007	2008				1		3	Duplicated blot panel, stretched	1				1	1	Chung-Hsi Hsing	Kota V. Ramana	29	PhD	Anesthesiology	2.96	cancer biology	National Cheng Kung University	Public	1931	1584	0	0	Taiwan	-23	-120.21667	Urban	450	29.8	27.7	40.2		100	14.4	0.11	36 : 64	0	0	0	Original
M. HyzdÕalov, J. Hofmanov, J. Pachernk, A. Vaculov, A. KozubkeSung	The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation	Cytokine 44 (2008) 33Ð43	10.1016/j.cyto.2008.06.003	2008			1			2	Duplicated blot panel	1				1	1	M. HyzdÕalov	Miwa Misawa	22	PhD	Biotechnology	2	cancer biology	Academy of Sciences of the Czech Republic	Public	1784	0	0	0	Czech Republic	-50.081667	-14.414167											0	0	0	Original
Taku Inokuchi, Tuneyoshi Ka, Asako Yamamoto, Yuji Moriwaki, Sumio Takahashi, Zenta Tsutsumi, Daisuke Tamada, Tetsuya Yamamoto	Effects of ethanol on monosodium urate crystal-induced inflammation	Cytokine 42 (2008) 198Ð204	10.1016/j.cyto.2008.01.001	2008			1			2	Duplicated blot	1				1	1	Taku Inokuchi	Martin H. Steinberg	14	PhD	Medicine	2.7142	Hormone and Metabolic Research	Hyogo College of Medicine	Public	2004	0	6158	0	Japan	-34.678611	-135.18056	Suburban					31.9					0	0	0	Original
Zhao Huang, Qiong Wen, Shu-Feng Zhou, Xue-Qing Yu	Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome	Cytokine 42 (2008) 222Ð233	10.1016/j.cyto.2008.02.005	2008			1			3	Duplicated whole figure; very likely error	1				1	1	Zhao Huang	Kewei Ma	12	PhD	Nephrology	0.1666	Cytokine	Sun Yat_sen University	Public	1924	17022	0	0	China	23.132	113.266	Urban										0	0	0	Original
Aramati B.M. Reddy, Satish K. Srivastava, Kota V. Ramana	Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis	Cytokine 48 (2009) 170Ð176	10.1016/j.cyto.2009.07.004	2009					1	3	Duplicated/mirrored bands, manipulated	1				1	1	Aramati B.M. Reddy	Sawsan Ibrahim Kreydiyyeh	18	PhD	Biochemistry	2.77	animal sciences	University of Texas Medical Branch	Public	1891	0	3169	0	United States	-29.310833	94.7772222	Urban					27.2					1	0	0	Original
Kumiko Goto, Yoshihiko Chiba, Miwa Misawa	IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells	Cytokine 46 (2009) 96Ð99	10.1016/j.cyto.2008.12.021	2009					1	2	Duplicated lane within blot	1				1	1	Kumiko Goto	Keith L. Kirkwood	12	PhD	Animal Science	1.1666	Pharmacological Sciences	Hoshi University	Private	1950	0	0	0	United States	-35.7125	-139.40889											0	0	0	Original
Surinder Safaya, Elizabeth S. Klings, Adam Odhiambo, Guihua Li, Harrison W. Farber, Martin H. Steinberg	Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells	Cytokine 46 (2009) 72Ð78	10.1016/j.cyto.2008.12.013	2009				1		2	Mirrored blot	1				1	1	Surinder Safaya	Christa Buechler n	41	PhD	Biology	0.68	Genomics	Boston University School of Medicine	Private		0	0	0	United States	-42.335	71.0736111	Urban										0	0	0	Original
Yanping Yang, Ying Xu, Wei Li, Guanjun Wang, Yanqiu Song, Guozi Yang, Xue Han, Zhonghua Du, Luguo Sun, Kewei Ma	STAT3 induces muscle stem cell differentiation by interaction with myoD	Cytokine 46 (2009) 137Ð141	10.1016/j.cyto.2008.12.015	2009				1		2	Overlapping blots, two cases	1				1	1	Yanping Yang	Yaozong Yuan	11	PhD	biology	0.2727	PLoS ONE	Weill Cornell Medicine	Private	1898	1814	414	0.22822492	United States	40.7644444	73.9538889	Urban										0	0	0	Original
Ari Kassardjian, Zeina Dakroub, Ola El Zein, Sawsan Ibrahim Kreydiyyeh	Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells	Cytokine 49 (2010) 312Ð318	10.1016/j.cyto.2009.11.020	2010					1	4	Duplicated yet altered blots, multiple cases	1				1	1	Ari Kassardjian	Xiao-Heng Liu	13	PhD	Molecular Biophysics	0.923	Oncogenes	University of California, Los Angeles	Public	1919	4016	45742	11.3899402	United States	-34.069444	118.445278	Urban	16	80.8	56.4	88.6		47.9	10.3	0.15	2.2	0	0	0	Original
